mass_eV,mass_over_mres,g_GeV_inv,Aeff_over_Aunit,A_tau_unit_physical,A_tau_eff_physical,max_frac_unit,L_peak_frac_unit,max_frac_eff,L_peak_frac_eff
9.335700646176413e-30,0.9117224885582184,4e-12,0.03165093777503127,-0.2665476413829542,-0.008436482811493234,0.020603815643777588,289,2.0640528800729756e-05,289
9.777224419153242e-30,0.9548416039104142,4e-12,0.06828447887048715,0.3814950430160512,0.026050190204025134,0.04220615271935738,289,0.00019679758502028506,289
1.0239629671677545e-29,1.0000000000000013,4e-12,0.7339410820194093,-0.04431280013998953,-0.03252298448205375,0.000569450994429731,289,0.0003067458892066642,289
1.0723903975007639e-29,1.047294122820632,4e-12,-0.32393691261729507,-0.03812636096987284,0.012350535661913149,0.0004215495967100151,289,4.423535893144807e-05,289
1.1231081606718207e-29,1.0968249796946268,4e-12,0.18526319896576207,-0.20966305778013958,-0.03884284878929207,0.01274799246852592,289,0.00043754237095615487,289
1.1762245759634865e-29,1.1486983549970402,4e-12,0.018141797291946954,0.44961350020739027,0.008156796980485223,0.058624162769160854,289,1.929466637313524e-05,289
1.2318530855237379e-29,1.2030250360821169,4e-12,0.009046318779078123,0.3256610889683579,0.002946034024749487,0.030755989857724552,289,2.516943601469215e-06,289
1.2901124966474704e-29,1.2599210498948783,4e-12,0.20251596487150247,0.2666496015489641,0.05400080134029016,0.020619581457700972,289,0.0008456650389375152,289
1.3511272355163353e-29,1.3195079107728938,4e-12,-0.007610514865685677,0.44788206145958176,-0.0034086130868120927,0.058173514809199876,289,3.369406284941994e-06,289
1.4150276129391442e-29,1.381912879967781,4e-12,-0.3383828493802309,0.07713240879803178,-0.026100284268638783,0.0017253283403918641,289,0.00019755518944620701,289
1.4819501026600599e-29,1.4472692374403768,4e-12,-0.09454226227784712,-0.2973129831716995,0.028108642033627965,0.025634551093782786,289,0.00022912775347556222,289
1.552037632829311e-29,1.5157165665104027,4e-12,0.14407397677937864,0.09925694551126832,0.014300342862782521,0.0028570627572499074,289,5.9304939584556575e-05,289
1.625439891258568e-29,1.5874010519681971,4e-12,0.05073671735132139,0.44749301911989964,0.022704326827775807,0.058072496559564646,289,0.00014949106197402844,289
1.7023136451133036e-29,1.6624757922855797,4e-12,-0.021218819619818287,0.3449930555400258,-0.007320345415593759,0.034515858010208324,289,1.5540361442667954e-05,289
1.7828230757245133e-29,1.7411011265922451,4e-12,0.08845962576902086,0.4606811130420544,0.04075167885855613,0.06154585118456718,289,0.00048160277191005527,289
1.8671401292352829e-29,1.8234449771164372,4e-12,-0.06932683227100413,-0.13261317929793903,0.009193651638112815,0.00510001368663499,289,2.4511735111770348e-05,289
1.9554448838306488e-29,1.9096832078208286,4e-12,-0.10109765011191961,0.15060035496048793,-0.015225341992526308,0.0065773349444781335,289,6.72251965407697e-05,289
2.0479259343355093e-29,2.0000000000000027,4e-12,0.10082369440225812,-0.45655194810736177,-0.046031254094732243,0.06044750334950924,289,0.0006144740994897869,289
