mass_eV,A_unit_saved,A_unit_reconstructed,A_unit_abs,rel_diff_A_unit,phi_unit_at_eval,dphi_dx_unit_at_eval,dotphi_phys_unit_at_eval,dotphi_phys_from_dx,rel_diff_dotphi,omega_phi_abs,kinetic_density,potential_density,rho_unit_at_eval,kinetic_fraction,potential_fraction,phi_amp_max,A_times_phi_amp_max
4.124626382901364e-31,4211369702.025738,4111896822.895047,4211369702.025738,-0.02362007759205811,0.04651411527262493,1.0846255802294111,3.42206628097229e-17,3.42206628097229e-17,0.0,2.9147654508902495e-17,5.8552688156837595e-34,4.24792881685172e-34,1.010319763253548e-33,0.5795461029909926,0.4204538970090074,38462.49563845566,161979788796089.25
7.0170382867038365e-31,-4840490436.70322,-4740327852.911552,4840490436.70322,-0.020692651932990296,-0.02220113190654802,-1.2503915028495018,-3.9450688587028386e-17,-3.9450688587028386e-17,-0.0,2.3668089138569423e-17,7.781784149953458e-34,2.8008922173563393e-34,1.0582676367309797e-33,0.7353323374786005,0.2646676625213995,37581.06875917956,181910803929894.8
1.1937766417144357e-30,4675447428.029609,4625583006.657169,4675447428.029609,-0.010665165663824807,0.01488359597139782,1.2201244020910325,3.849574130553018e-17,3.849574130553018e-17,0.0,2.699387186547512e-17,7.409610493311513e-34,3.643345591448446e-34,1.1052956084759958e-33,0.670373648143598,0.32962635185640204,36772.881478621755,171929674130459.72
2.0309176209047306e-30,-4015721579.3411074,-3796099529.101725,4015721579.3411074,-0.0546905570767726,0.011041432145199592,-1.0013253813751262,-3.1592485797364014e-17,-3.1592485797364014e-17,-0.0,3.406841653458761e-17,4.990425794283234e-34,5.8032850258708125e-34,1.0793710820154045e-33,0.4623457008839905,0.5376542991160096,37211.86999393767,149432509342291.34
3.4551072945922325e-30,-3750917803.223794,-3637788874.3259745,3750917803.223794,-0.030160332705928352,-0.006791882387902892,-0.9595666035681107,-3.0274968415579826e-17,-3.0274968415579826e-17,-0.0,3.56521666752167e-17,4.58286856282178e-34,6.355384943187161e-34,1.093825350600894e-33,0.41897626164032287,0.5810237383596774,36965.18567966107,138653373065313.94
5.878016072274924e-30,5947875631.44551,5513467467.126161,5947875631.44551,-0.07303585199776197,0.00012161756065315896,1.4543282840441858,4.588503049355746e-17,4.588503049355746e-17,0.0,1.0860786849569076e-18,1.052718011697349e-33,5.897834549588629e-37,1.0533077951523079e-33,0.9994400654227822,0.0005599345772178401,37669.446172067524,224053180936888.78
1e-29,5847092972.245209,5395869078.25078,5847092972.245209,-0.07717063780861423,0.0007925177309162693,1.4233084831440748,4.490633501893763e-17,4.490633501893763e-17,0.0,1.2040463911854624e-17,1.008289462416532e-33,7.248638560633679e-35,1.0807758480228689e-33,0.9329311570581996,0.06706884294180027,37187.67859139466,217439814145857.3
1.7012542798525858e-29,3012473655.0639086,2816534500.720372,3012473655.0639086,-0.06504261174671737,-0.0016327839898402157,0.7429382347510235,2.3440198427265645e-17,2.3440198427265645e-17,0.0,4.220191874605571e-17,2.747214511547934e-34,8.905009729243441e-34,1.1652224240791374e-33,0.2357673912531359,0.7642326087468643,35814.7948101078,107891125826969.34
2.89426612471674e-29,-1429564348.450455,-1355400723.779821,1429564348.450455,-0.051878479447967536,-0.0010985768207647311,-0.3575241208114757,-1.1280125241048027e-17,-1.1280125241048027e-17,-0.0,4.830622789679454e-17,6.362061272686441e-35,1.1667458268085254e-33,1.23036643953539e-33,0.05170867042739623,0.9482913295726036,34853.760775432354,49825693813978.98
4.923882631706752e-29,-1683875599.3636212,-1678468490.05994,1683875599.3636212,-0.0032111097195806015,0.0007023845643177157,-0.4427421062200405,-1.3968809702439365e-17,-1.3968809702439365e-17,-0.0,5.2543244203020934e-17,9.756382225148207e-35,1.3803962556891465e-33,1.4779600779406287e-33,0.06601248823136434,0.9339875117686355,31800.61599838203,53548281324407.9
