case_name,mass_eV,A_unit,phi_amp_max,A_tau_eff,L,Claa_limit,patchy_power_if_phi_amp_max,patchy_budget_fraction,template_scale_limit,genuine_shape_toy
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,12,4.027682889217684e-06,6.3412067207019576e+16,1.5744056558369322e+22,6.351603198912632e-23,2.4994375632765043e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,13,3.452299619329443e-06,6.526162412378919e+16,1.8903812333781528e+22,5.289938253422978e-23,2.307083013141769e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,14,2.9919930034188506e-06,6.7158411390500824e+16,2.2446045600294235e+22,4.4551277218597984e-23,2.1422009933351666e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,15,2.6179938779914943e-06,6.910341687589553e+16,2.6395560912812813e+22,3.788515816364351e-23,1.999296998581709e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,16,2.309994598227789e-06,7.109764243548501e+16,3.0778272161342106e+22,3.249045283497143e-23,1.8742501499800024e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,17,2.0533285317580345e-06,7.314210391012762e+16,3.5621237799439846e+22,2.8073140120238195e-23,1.7639091872452963e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,18,1.8371886863098205e-06,7.523783111747182e+16,4.0952696736117305e+22,2.4418416360797862e-23,1.6658231302048494e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,19,1.6534698176788385e-06,7.738586783606387e+16,4.680210488794958e+22,2.136656038001137e-23,1.5780569945579135e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,20,1.4959965017094253e-06,7.958727178192158e+16,5.320017238742194e+22,1.8796931572282443e-23,1.4990627929077243e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,21,1.3599968197358411e-06,8.184311457736869e+16,6.017890144277358e+22,1.6617119555612666e-23,1.4275873926414931e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,22,1.2417362267153333e-06,8.415448171193221e+16,6.777162484382001e+22,1.4755437873955422e-23,1.362605503479491e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,23,1.1382582078223888e-06,8.652247249509637e+16,7.601304510742182e+22,1.3155636622461283e-23,1.3032701465330663e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,24,1.0471975511965976e-06,8.894820000071546e+16,8.493927425544236e+22,1.177311683865637e-23,1.2488755060981593e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,25,9.66643893412244e-07,9.143279100287934e+16,9.458787421717675e+22,1.0572179661253074e-23,1.1988286970183707e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,26,8.950406420483741e-07,9.397738590303461e+16,1.0499789784736438e+23,9.524000199067811e-24,1.152628047271938e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,27,8.311091676163474e-07,9.6583138648157e+16,1.1620993054999151e+23,8.60511657882643e-24,1.1098462066504935e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,28,7.737912939876337e-07,9.925121663977627e+16,1.2826613249717236e+23,7.796290264088574e-24,1.0701168750066603e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,29,7.222052077217915e-07,1.01982800633656e+17,1.4121028143145418e+23,7.081637327416678e-24,1.0331242763814547e-09
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,30,6.756113233526437e-07,1.0477908462992595e+17,1.5508781603891978e+23,6.447959778794272e-24,9.985947383062085e-10
