case_name,mass_eV,A_unit,A_unit_abs,Rtau_max_unit,sqrt_Rtau_max_unit,spectrum_ratio_at_peak,sqrt_spectrum_ratio_at_peak,phi_needed,phi_amp_max,ratio_phi_needed_over_phi_amp_max,log10_ratio,L_peak,nphi,Lcut
nphi_1_Lcut_800,1.7012542798525858e-29,3012473655.0639086,3012473655.0639086,1.1373786184600297e+19,3372504438.0401187,1.2533101145711985,1.1195133382730187,2.965155475321287e-10,35814.7948101078,8.279135734387758e-15,-14.082014997197842,340,1.0,800.0
nphi_1_Lcut_800,2.89426612471674e-29,-1429564348.450455,1429564348.450455,2.561332512583885e+18,1600416356.009862,1.2533101145711987,1.119513338273019,6.248374032449828e-10,34853.760775432354,1.7927402648767157e-14,-13.746482627170577,340,1.0,800.0
nphi_1_Lcut_800,4.923882631706752e-29,-1683875599.3636212,1683875599.3636212,3.5536819141076403e+18,1885121193.480048,1.2533101145711985,1.1195133382730187,5.304698729496216e-10,31800.61599838203,1.668111941531608e-14,-13.777774808639395,340,1.0,800.0
nphi_1_Lcut_800,8.376776400682924e-29,-6996192547.614638,6996192547.614638,6.134540692264702e+19,7832330874.18088,1.2533101145711985,1.1195133382730187,1.2767591360274116e-10,30737.129082981093,4.1538008724905384e-15,-14.381554326782958,340,1.0,800.0
nphi_1_Lcut_800,1.4251026703029963e-28,-905708374.6202744,905708374.6202744,1.0280998871593836e+18,1013952605.9729732,1.2533101145711985,1.1195133382730187,9.862393903908512e-10,28041.38611178901,3.5170850201881485e-14,-13.453817133146728,340,1.0,800.0
nphi_1_Lcut_800,2.4244620170823407e-28,-175776521.27101412,175776521.27101412,3.872400567339834e+16,196784160.1181313,1.2533101145711985,1.1195133382730187,5.081709825626671e-09,26961.04777718403,1.88483395290264e-13,-12.72472690355606,340,1.0,800.0
nphi_1_Lcut_800,4.124626382901365e-28,5601892846.67588,5601892846.67588,3.9330379710901354e+19,6271393761.429859,1.2533101145711985,1.1195133382730187,1.5945418802279176e-10,25011.876598778217,6.375138922226284e-15,-14.19551034697261,340,1.0,800.0
nphi_1_Lcut_800,7.017038286703837e-28,6999751049.4014,6999751049.4014,6.140782751941882e+19,7836314664.395428,1.2533101145711985,1.1195133382730187,1.2761100629911346e-10,22279.885557159894,5.727632934725924e-15,-14.24202482232225,340,1.0,800.0
nphi_1_Lcut_800,1.1937766417144358e-27,10127134845.424482,10127134845.424482,1.2853805679924219e+20,11337462537.942173,1.2533101145711985,1.1195133382730187,8.820315803940965e-11,21731.77728516585,4.0587181104426876e-15,-14.391611110626657,340,1.0,800.0
nphi_1_Lcut_800,2.0309176209047306e-27,11050048439.7749,11050048439.7749,1.5303363995969277e+20,12370676616.89096,1.2533101145711985,1.1195133382730187,8.083632213250138e-11,19747.162257012587,4.093566512514723e-15,-14.387898148774251,340,1.0,800.0
nphi_1_Lcut_800,3.455107294592232e-27,-4336727160.012378,4336727160.012378,2.3571257070393893e+19,4855023900.084725,1.2533101145711985,1.1195133382730187,2.059722095255904e-10,17500.35228137274,1.1769603617912644e-14,-13.929238163278235,340,1.0,800.0
