mass_eV,lambda_osc_Mpc,N_osc_full,N_osc_patchy
1.1357333583431029e-26,0.030779294699187183,162922.8948497237,30014.020467563427
1.2603829296797223e-26,0.027735278630775267,180804.089282162,33308.13414124147
1.3987131026472415e-26,0.02499231019569292,200647.78944239166,36963.78501407111
1.552225357427048e-26,0.02252061633246631,222669.3852332575,41020.652696204466
1.722585965398784e-26,0.020293368481059962,247107.90613714844,45522.77173406542
1.9116440753857116e-26,0.018286391377059383,274228.6157188621,50519.00957547632
2.1214517849106364e-26,0.016477900645577224,304325.89088163344,56063.59699265011
2.3542864143224203e-26,0.01484826634664195,337726.4171287198,62216.71672043366
2.6126752255633265e-26,0.013379799905517431,374792.73451290093,69045.15669906384
2.899422853882869e-26,0.012056562115224373,415927.17276279785,76623.03501194862
3.2176417502507486e-26,0.010864190127261916,461576.218299133,85032.60438718012
3.57078596490047e-26,0.009789741552631622,512235.3605419054,94365.14499509307
3.9626886387014783e-26,0.008821553980984716,568454.4701119162,104721.95523259147
4.3976036093027123e-26,0.007949118393070165,630843.7673032993,116215.4512485214
4.880251583654414e-26,0.007162965092460149,700080.4456108314,128970.38714470186
5.415871378079487e-26,0.006454560918419742,776916.0222059008,143125.20909706518
6.010276782070388e-26,0.005816216624236415,862184.4951455332,158833.55809496753
6.669919663030115e-26,0.005241003415663194,956811.3958555358,176265.93760990177
7.401959996915682e-26,0.004722677743557945,1061823.835146207,195611.56429500427
8.214343584919455e-26,0.004255613534393289,1178361.6518033412,217080.42180345108
9.115888299750837e-26,0.003834741123045069,1307689.7847650081,240905.54001856496
1.011637979766207e-25,0.00345549222501696,1451212.00317553,267345.52443510026
1.1226677735108112e-25,0.003113750350811445,1610486.1433472051,296687.3631464465
1.2458833642950131e-25,0.002805806124229012,1787241.0180166217,329249.541905686
1.3826221737646593e-25,0.002528317019606116,1983395.1814339955,365385.5010723655
1.5343684089300132e-25,0.0022782710809666064,2201077.7539680465,405487.47196783265
1.7027691722258978e-25,0.0020529542292830726,2442651.532263111,449990.7342801214
1.889652339691204e-25,0.001849920802990269,2710738.6357937558,499378.3407296653
2.0970464013232394e-25,0.0016669670119880018,3008248.968192794,554186.3602788679
2.327202478960412e-25,0.001502107016994742,3338411.8022809858,615009.6967969922
2.5826187606826746e-25,0.0013535513746093743,3704810.8316328414,682508.5463380923
2.8660676169482677e-25,0.001219687614117127,4111423.0691390564,757415.563121277
3.180625692794106e-25,0.0010990627352139308,4562662.014783203,840543.8119951837
3.5297073027306573e-25,0.0009903674366737547,5063425.561190225,932795.5937053802
3.9171014908092606e-25,0.000892421904772192,5619149.156927539,1035172.2387567247
4.3470131581250175e-25,0.0008041630072087899,6235864.804612115,1148784.9761767467
4.824108704165393e-25,0.0007246327535272189,6920266.534206515,1274866.995152835
5.353566677410697e-25,0.0006529678967788115,7679783.06217252,1414786.8304642013
5.94113398496504e-25,0.0005883905635625154,8522658.425149156,1570063.2169985804
6.593188271333541e-25,0.0005301998107369304,9458041.463376634,1742381.5745889398
7.316807143427177e-25,0.00047776401715798276,10496085.125151087,1933612.3021024691
8.119844993184042e-25,0.0004305140278599356,11648056.670190105,2145831.079351322
9.011018251665037e-25,0.000387936976264371,12926459.96809273,2381341.3971887357
1e-24,0.0003495707173613993,14345171.219361594,2642699.560339606
