mass_eV,m_res_fid_eV,mass_over_mres,g_GeV_inv,phi_unit,dphi_dx_unit,rho_unit_GeV4,rho_dm_GeV4,phi_amp_max_nat_GeV,A_unit_old_mixed,A_eff_old_mixed,Aeff_over_Aunit,A_unit_nat,A_eff_nat,A_tau_unit_physical,A_tau_eff_physical,lambda_osc_Mpc,N_osc_patchy
8.12719945629284e-30,1.0239629671677533e-29,0.7937005259840986,1.4e-12,0.0004117878275379485,-1.5787286949658175,5.430447257195371e-82,7.167748933117039e-62,11488771514.046783,-5985078743.643632,-277544785.0041198,0.04637278754250014,-19.96407375813181,-0.9257897508686488,-0.16055387732772758,-0.007445330842443342,43.01244472236114,21.47774642993738
8.12719945629284e-30,1.0239629671677533e-29,0.7937005259840986,4e-12,0.0004117878275379485,-1.5787286949658175,5.430447257195371e-82,7.167748933117039e-62,11488771514.046783,-5985078743.643632,-277544785.0041198,0.04637278754250014,-19.96407375813181,-0.9257897508686488,-0.4587253637935073,-0.0212723738355524,43.01244472236114,21.47774642993738
8.511568225566517e-30,1.0239629671677533e-29,0.8312378961427896,1.4e-12,0.0013020162002119156,-1.4985959773691602,5.456778497350824e-82,7.167748933117039e-62,11461018928.540882,-5681289608.57091,-186882962.9422719,0.032894461613140864,-18.95074227841619,-0.623374464417887,-0.15203637117397956,-0.005001154575383707,41.07007170680729,22.493517607505197
8.511568225566517e-30,1.0239629671677533e-29,0.8312378961427896,4e-12,0.0013020162002119156,-1.4985959773691602,5.456778497350824e-82,7.167748933117039e-62,11461018928.540882,-5681289608.57091,-186882962.9422719,0.032894461613140864,-18.95074227841619,-0.623374464417887,-0.4343896319256558,-0.014289013072524875,41.07007170680729,22.493517607505197
8.914115378622565e-30,1.0239629671677533e-29,0.8705505632961225,1.4e-12,1.3490891964905698e-06,-1.591625263644226,5.462612478463379e-82,7.167748933117039e-62,11454897202.900486,-6033970601.572872,-134076153.34239814,0.022220219851162112,-20.127159441659046,-0.44722990777305727,-0.16138817967341462,-0.0035860808337221254,39.215413141243864,23.557328791902375
8.914115378622565e-30,1.0239629671677533e-29,0.8705505632961225,4e-12,1.3490891964905698e-06,-1.591625263644226,5.462612478463379e-82,7.167748933117039e-62,11454897202.900486,-6033970601.572872,-134076153.34239814,0.022220219851162112,-20.127159441659046,-0.44722990777305727,-0.46110908478118456,-0.010245945239206071,39.215413141243864,23.557328791902375
9.335700646176413e-30,1.0239629671677533e-29,0.9117224885582184,1.4e-12,-0.0028895090923194847,-0.9201948077349964,5.46431806862811e-82,7.167748933117039e-62,11453109341.674242,-3488527447.019776,-110415165.15211162,0.03165093777503127,-11.636475014390706,-0.36830534660118636,-0.09329167448403398,-0.002952768984022632,37.44450798179477,24.671451993112587
9.335700646176413e-30,1.0239629671677533e-29,0.9117224885582184,4e-12,-0.0028895090923194847,-0.9201948077349964,5.46431806862811e-82,7.167748933117039e-62,11453109341.674242,-3488527447.019776,-110415165.15211162,0.03165093777503127,-11.636475014390706,-0.36830534660118636,-0.2665476413829542,-0.008436482811493234,37.44450798179477,24.671451993112587
9.777224419153242e-30,1.0239629671677533e-29,0.9548416039104142,1.4e-12,-0.0019083976999283688,1.3234035881152126,5.517380288726589e-82,7.167748933117039e-62,11397902375.908268,5017122137.418025,342591570.58317447,0.06828447887048715,16.735318062664618,1.142762472640904,0.13352326505561793,0.009117566571408798,35.75357405897346,25.838266673837943
9.777224419153242e-30,1.0239629671677533e-29,0.9548416039104142,4e-12,-0.0019083976999283688,1.3234035881152126,5.517380288726589e-82,7.167748933117039e-62,11397902375.908268,5017122137.418025,342591570.58317447,0.06828447887048715,16.735318062664618,1.142762472640904,0.3814950430160512,0.026050190204025134,35.75357405897346,25.838266673837943
1.0239629671677545e-29,1.0239629671677533e-29,1.0000000000000013,1.4e-12,0.0032311256332347334,-0.15381687279501366,5.524279823532953e-82,7.167748933117039e-62,11390782461.965094,-583131287.0379579,-427984007.7680096,0.7339410820194093,-1.945116601425503,-1.4276009831041498,-0.015509480048996336,-0.011383044568718814,34.13899999999997,27.060264831382632
1.0239629671677545e-29,1.0239629671677533e-29,1.0000000000000013,4e-12,0.0032311256332347334,-0.15381687279501366,5.524279823532953e-82,7.167748933117039e-62,11390782461.965094,-583131287.0379579,-427984007.7680096,0.7339410820194093,-1.945116601425503,-1.4276009831041498,-0.04431280013998953,-0.03252298448205375,34.13899999999997,27.060264831382632
1.0723903975007639e-29,1.0239629671677533e-29,1.047294122820632,1.4e-12,-0.0030930700628429638,-0.13251945406544308,5.539042117657246e-82,7.167748933117039e-62,11375593349.36152,-502391177.26527107,162743046.8894801,-0.32393691261729507,-1.6757965848002454,0.5428523718547986,-0.013344226339455497,0.004322687481669603,32.597337515897536,28.340056319876854
1.0723903975007639e-29,1.0239629671677533e-29,1.047294122820632,4e-12,-0.0030930700628429638,-0.13251945406544308,5.539042117657246e-82,7.167748933117039e-62,11375593349.36152,-502391177.26527107,162743046.8894801,-0.32393691261729507,-1.6757965848002454,0.5428523718547986,-0.03812636096987284,0.012350535661913149,32.597337515897536,28.340056319876854
1.1231081606718207e-29,1.0239629671677533e-29,1.0968249796946268,1.4e-12,0.0026481295501758714,-0.7311364747806046,5.575440328381206e-82,7.167748933117039e-62,11338400840.956938,-2771793144.6141744,-513511264.8425911,0.18526319896576207,-9.245706723596678,-1.7128892043127755,-0.07338207022304885,-0.013594997076252223,31.12529403688895,29.68037442421244
1.1231081606718207e-29,1.0239629671677533e-29,1.0968249796946268,4e-12,0.0026481295501758714,-0.7311364747806046,5.575440328381206e-82,7.167748933117039e-62,11338400840.956938,-2771793144.6141744,-513511264.8425911,0.18526319896576207,-9.245706723596678,-1.7128892043127755,-0.20966305778013958,-0.03884284878929207,31.12529403688895,29.68037442421244
1.1762245759634865e-29,1.0239629671677533e-29,1.1486983549970402,1.4e-12,0.0006301350167505243,1.5683020042988527,5.57836350523051e-82,7.167748933117039e-62,11335429674.412575,5945550378.27193,107862969.75166787,0.018141797291946954,19.832221323833064,0.3597921391060073,0.15736472507258661,0.002854878943169829,29.719725680366246,31.08408169759346
1.1762245759634865e-29,1.0239629671677533e-29,1.1486983549970402,4e-12,0.0006301350167505243,1.5683020042988527,5.57836350523051e-82,7.167748933117039e-62,11335429674.412575,5945550378.27193,107862969.75166787,0.018141797291946954,19.832221323833064,0.3597921391060073,0.44961350020739027,0.008156796980485223,29.719725680366246,31.08408169759346
