mass_eV,tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,A_tau_eff,max_patchy_budget_fraction,L_at_max_fraction,min_scale_factor_to_fit
1e-26,0.068,19.0,2.0,5.0,0.693,0.07,9.593704306315757,34.138777641498244,279.4099078820883,0.693,5e-05,-33906827797664.184,1.9150021511794975e+26,100,5.221926248929147e-27
2.0309176209047306e-27,0.068,19.0,2.0,6.0,0.409,0.07,9.593704306315757,11.715156950049437,814.2197971985231,0.409,5e-05,200280650500282.38,3.9232838611266435e+22,100,2.5488851569175816e-23
5.878016072274924e-27,0.068,19.0,2.0,6.0,0.409,0.07,9.593704306315757,11.715156950049437,814.2197971985231,0.409,5e-05,202027735414180.88,3.992029451202313e+22,100,2.5049915393254966e-23
1e-26,0.068,19.0,2.0,6.0,0.409,0.07,9.593704306315757,11.715156950049437,814.2197971985231,0.409,5e-05,-33906827797664.184,1.1244653217138174e+21,100,8.893115516233818e-22
2.0309176209047306e-27,0.068,19.0,2.0,6.0,0.541,0.07,9.593704306315757,19.345957235089386,493.0597437027803,0.541,5e-05,200280650500282.38,2.5922921911522946e+26,100,3.85758983270899e-27
5.878016072274924e-27,0.068,19.0,2.0,6.0,0.541,0.07,9.593704306315757,19.345957235089386,493.0597437027803,0.541,5e-05,202027735414180.88,2.6377155310474953e+26,100,3.7911593886050245e-27
1e-26,0.068,19.0,2.0,6.0,0.541,0.07,9.593704306315757,19.345957235089386,493.0597437027803,0.541,5e-05,-33906827797664.184,7.429854111711411e+24,100,1.3459214473992648e-25
2.0309176209047306e-27,0.068,19.0,2.0,6.0,0.693,0.07,9.593704306315757,40.96653316979789,232.84158990174026,0.693,5e-05,200280650500282.38,9.533532208845441e+27,100,1.0489291671686764e-28
5.878016072274924e-27,0.068,19.0,2.0,6.0,0.693,0.07,9.593704306315757,40.96653316979789,232.84158990174026,0.693,5e-05,202027735414180.88,9.700583159121126e+27,100,1.0308658599145499e-28
1e-26,0.068,19.0,2.0,6.0,0.693,0.07,9.593704306315757,40.96653316979789,232.84158990174026,0.693,5e-05,-33906827797664.184,2.732437096511784e+26,100,3.6597365819568e-27
2.0309176209047306e-27,0.068,19.0,2.0,8.0,0.409,0.07,9.593704306315757,15.620209266732582,610.6648478988924,0.409,5e-05,200280650500282.38,1.1284151430705675e+24,100,8.861986708888602e-25
5.878016072274924e-27,0.068,19.0,2.0,8.0,0.409,0.07,9.593704306315757,15.620209266732582,610.6648478988924,0.409,5e-05,202027735414180.88,1.148187753874831e+24,100,8.709376986692843e-25
1e-26,0.068,19.0,2.0,8.0,0.409,0.07,9.593704306315757,15.620209266732582,610.6648478988924,0.409,5e-05,-33906827797664.184,3.234187843127953e+22,100,3.091966356019839e-23
2.0309176209047306e-27,0.068,19.0,2.0,8.0,0.541,0.07,9.593704306315757,25.79460964678585,369.79480777708517,0.541,5e-05,200280650500282.38,1.0798079465437921e+27,100,9.26090610094843e-28
5.878016072274924e-27,0.068,19.0,2.0,8.0,0.541,0.07,9.593704306315757,25.79460964678585,369.79480777708517,0.541,5e-05,202027735414180.88,1.0987288396224366e+27,100,9.101426702730735e-28
1e-26,0.068,19.0,2.0,8.0,0.541,0.07,9.593704306315757,25.79460964678585,369.79480777708517,0.541,5e-05,-33906827797664.184,3.094873154681241e+25,100,3.231150195889032e-26
2.0309176209047306e-27,0.068,19.0,2.0,8.0,0.693,0.07,9.593704306315757,54.622044226397186,174.6311924263052,0.693,5e-05,200280650500282.38,1.451149494542432e+28,100,6.891088780038573e-29
5.878016072274924e-27,0.068,19.0,2.0,8.0,0.693,0.07,9.593704306315757,54.622044226397186,174.6311924263052,0.693,5e-05,202027735414180.88,1.4765772055675728e+28,100,6.772419323753652e-29
1e-26,0.068,19.0,2.0,8.0,0.693,0.07,9.593704306315757,54.622044226397186,174.6311924263052,0.693,5e-05,-33906827797664.184,4.15918740778269e+26,100,2.404315800073821e-27
2.0309176209047306e-27,0.11,14.7,1.0,5.0,0.409,0.08626187364603412,13.499959947601226,9.762630791707863,1049.3421832183508,0.409,3.080781201644076e-05,200280650500282.38,8.291273336160681e+20,100,1.20608736373303e-21
5.878016072274924e-27,0.11,14.7,1.0,5.0,0.409,0.08626187364603412,13.499959947601226,9.762630791707863,1049.3421832183508,0.409,3.080781201644076e-05,202027735414180.88,8.436556853272628e+20,100,1.1853176804137693e-21
1e-26,0.11,14.7,1.0,5.0,0.409,0.08626187364603412,13.499959947601226,9.762630791707863,1049.3421832183508,0.409,3.080781201644076e-05,-33906827797664.184,2.376389185534429e+19,100,4.2080649335016594e-20
2.0309176209047306e-27,0.11,14.7,1.0,5.0,0.541,0.08626187364603412,13.499959947601226,16.121631029241158,635.440687753268,0.541,3.080781201644076e-05,200280650500282.38,3.589538039083979e+25,100,2.785873806355293e-26
