tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,L,D_shape,C_shape
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,52,1.2790540603998344e-16,2.9160136717680083e-19
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,53,1.7845601400164202e-16,3.9177924708349113e-19
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,54,2.4691870055549254e-16,5.223690072047632e-19
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,55,3.389274707119022e-16,6.914104234339491e-19
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,56,4.616686269597938e-16,9.087561195800595e-19
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,57,6.242485459891901e-16,1.1864093442793404e-18
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,58,8.381343463291137e-16,1.5389109907357257e-18
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,59,1.1176789933331618e-15,1.9837808556650262e-18
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,60,1.4807437235072632e-15,2.5420183626336687e-18
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,61,1.9494320921590017e-15,3.238668185827023e-18
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,62,2.5509514548574066e-15,4.1034564005346765e-18
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,63,3.318619281523403e-15,5.171502953817143e-18
